C_TERRITOIRE_ID;C_LBLTERRITOIRE;C_DEPARTEMENT_ID;C_LBLDEPARTEMENT;C_REGION_ID;C_LBLREGION;TX_ACCESM6;TX_PRESEMPM6;TX_ACCESM6_D;TX_PRESEMPM6_D;DELTA_TX_ACCESM6;DELTA_TX_PRESEMPM6;TERRITOIRE_PROCHE1;TERRITOIRE_PROCHE2;TERRITOIRE_PROCHE3;TERRITOIRE_PROCHE4;TERRITOIRE_PROCHE5;TERRITOIRE_PROCHE6;TERRITOIRE_PROCHE7;TERRITOIRE_PROCHE8;TERRITOIRE_PROCHE9;TERRITOIRE_PROCHE10
CLPE01001;DOMBES - SAÔNE - CÔTIÈRE;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.2791385171;0.1971647399;0.2719341105;0.1848702097;0.0072044066;0.0122945302;CLPE33002;CLPE69D04;CLPE69D02;CLPE69D03;CLPE42002;CLPE67002;CLPE74001;CLPE69D01;CLPE73002;CLPE67004
CLPE01002;GRAND BOURG AGGLOMÉRATION - BRESSE - VEYLE;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.2738018445;0.1852368416;0.2655933056;0.177931526;0.0082085389;0.0073053156;CLPE01004;CLPE38003;CLPE41001;CLPE71002;CLPE22002;CLPE45003;CLPE71005;CLPE68002;CLPE73002;CLPE67004
CLPE01003;HAUT BUGEY AGGLOMÉRATION - VALSERHÔNE - PAYS DE GEX;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.2341577138;0.1435912226;0.2166061789;0.1410006866;0.017551535;0.002590536;CLPE74003;CLPE89003;CLPE25002;CLPE68004;CLPE28003;CLPE42001;CLPE68003;CLPE60003;CLPE89001;CLPE28002
CLPE01004;PLAINE DE L'AIN - BUGEY SUD - RIVES DE L'AIN PAYS DU CE;01;AIN;84;AUVERGNE-RHÔNE-ALPES;0.2791266555;0.1888947823;0.2683277006;0.1812903209;0.0107989549;0.0076044613;CLPE01002;CLPE38003;CLPE35001;CLPE67004;CLPE56002;CLPE41001;CLPE22001;CLPE22002;CLPE73002;CLPE67003
CLPE02001;CHÂTEAU-THIERRY;02;AISNE;32;HAUTS-DE-FRANCE;0.245680327;0.1541227257;0.226785182;0.1518403757;0.018895145;0.0022823499;CLPE89001;CLPE61001;CLPE60001;CLPE28001;CLPE89003;CLPE76001;CLPE60003;CLPE47003;CLPE27003;CLPE18001
CLPE02002;LAON;02;AISNE;32;HAUTS-DE-FRANCE;0.1912018414;0.1255084437;0.1966347222;0.1303441088;-0.005432881;-0.004835665;CLPE59001;CLPE02004;CLPE54002;CLPE57001;CLPE62004;CLPE02003;CLPE02005;CLPE55002;CLPE03001;CLPE10003
CLPE02003;SAINT-QUENTIN;02;AISNE;32;HAUTS-DE-FRANCE;0.1820839463;0.1211180859;0.1925587775;0.1274535587;-0.010474831;-0.006335473;CLPE59001;CLPE59006;CLPE02002;CLPE02004;CLPE59002;CLPE08001;CLPE02005;CLPE57001;CLPE62004;CLPE54002
CLPE02004;SOISSONS;02;AISNE;32;HAUTS-DE-FRANCE;0.2180025091;0.1428631168;0.1997356327;0.1321782981;0.0182668764;0.0106848187;CLPE02002;CLPE45002;CLPE59001;CLPE90001;CLPE02003;CLPE03001;CLPE10003;CLPE54002;CLPE57004;CLPE71001
CLPE02005;VERVINS;02;AISNE;32;HAUTS-DE-FRANCE;0.1732835387;0.1135205638;0.1918615017;0.126724166;-0.018577963;-0.013203602;CLPE59001;CLPE02002;CLPE02003;CLPE54002;CLPE02004;CLPE57001;CLPE62004;CLPE08001;CLPE18003;CLPE08004
CLPE03001;MONTLUÇON;03;ALLIER;84;AUVERGNE-RHÔNE-ALPES;0.1807833579;0.1185060588;0.2066950412;0.1365673955;-0.025911683;-0.018061337;CLPE88004;CLPE71001;CLPE10003;CLPE45002;CLPE02004;CLPE88001;CLPE18003;CLPE54002;CLPE03003;CLPE90001
CLPE03002;MOULINS;03;ALLIER;84;AUVERGNE-RHÔNE-ALPES;0.2153439272;0.1423560526;0.2125898103;0.1395211982;0.0027541169;0.0028348544;CLPE36001;CLPE65003;CLPE88001;CLPE55002;CLPE81003;CLPE11001;CLPE09003;CLPE71001;CLPE58004;CLPE18001
CLPE03003;VICHY;03;ALLIER;84;AUVERGNE-RHÔNE-ALPES;0.2203557738;0.1483341948;0.2180648712;0.1433004359;0.0022909026;0.0050337588;CLPE89001;CLPE71001;CLPE63002;CLPE45002;CLPE61001;CLPE88004;CLPE81003;CLPE21004;CLPE23001;CLPE42003
CLPE04001;ALPES-DE-HAUTE-PROVENCE;04;ALPES-DE-HAUTE-PROVENCE;93;PROVENCE-ALPES-CÔTE D'AZUR;0.2565391816;0.1691762503;0.245764329;0.1637408569;0.0107748526;0.0054353935;CLPE84004;CLPE07002;CLPE84003;CLPE84001;CLPE24003;CLPE26002;CLPE31003;CLPE22003;CLPE24001;CLPE46003
CLPE05001;HAUTES-ALPES;05;HAUTES-ALPES;93;PROVENCE-ALPES-CÔTE D'AZUR;0.322813431;0.1981413125;0.2930998791;0.194514797;0.0297135519;0.0036265154;CLPE38001;CLPE65002;CLPE64003;CLPE40003;CLPE40002;CLPE56001;CLPE35003;CLPE24004;CLPE74002;CLPE85003
CLPE06001;GRASSE;06;ALPES-MARITIMES;93;PROVENCE-ALPES-CÔTE D'AZUR;0.2602138725;0.1787118793;0.2443335142;0.1636832183;0.0158803583;0.0150286611;CLPE06002;CLPE13001;CLPE83003;CLPE83002;CLPE34003;CLPE68002;CLPE83001;CLPE69M06;CLPE30002;CLPE73002
CLPE06002;NICE;06;ALPES-MARITIMES;93;PROVENCE-ALPES-CÔTE D'AZUR;0.2488114902;0.1613512569;0.2398984568;0.1603146641;0.0089130334;0.0010365928;CLPE06001;CLPE34003;CLPE83003;CLPE13001;CLPE38002;CLPE69M06;CLPE69M02;CLPE33003;CLPE68002;CLPE30001
CLPE07001;ANNONAY;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.2706144654;0.1800053509;0.2544313298;0.168210967;0.0161831356;0.011794384;CLPE42003;CLPE26002;CLPE14004;CLPE68005;CLPE71002;CLPE63003;CLPE45004;CLPE26001;CLPE82002;CLPE39003
CLPE07002;AUBENAS;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.2483727157;0.1683962959;0.2407182765;0.1584071577;0.0076544391;0.0099891382;CLPE04001;CLPE66001;CLPE46003;CLPE66003;CLPE24001;CLPE11003;CLPE31003;CLPE84004;CLPE26002;CLPE65002
CLPE07003;CENTRE ARDÈCHE;07;ARDÈCHE;84;AUVERGNE-RHÔNE-ALPES;0.2383683474;0.1589541333;0.2283331778;0.1496717635;0.0100351697;0.0092823699;CLPE31003;CLPE81003;CLPE46001;CLPE19002;CLPE81002;CLPE63002;CLPE65003;CLPE81001;CLPE82002;CLPE71003
CLPE08001;CHARLEVILLE-MÉZIÈRES;08;ARDENNES;44;GRAND EST;0.1763933977;0.1150765209;0.1889730607;0.1243954375;-0.012579663;-0.009318917;CLPE02003;CLPE10002;CLPE57001;CLPE59001;CLPE02002;CLPE59006;CLPE08004;CLPE30003;CLPE59005;CLPE54002
CLPE08002;RETHEL;08;ARDENNES;44;GRAND EST;0.2339816934;0.1544086098;0.2281408623;0.1508088746;0.0058408311;0.0035997353;CLPE16003;CLPE57003;CLPE37003;CLPE71003;CLPE63003;CLPE17005;CLPE86002;CLPE63002;CLPE24001;CLPE89002
CLPE08003;REVIN;08;ARDENNES;44;GRAND EST;0.1874423937;0.1233504934;0.1858628019;0.1213732505;0.0015795918;0.0019772429;CLPE08001;CLPE59005;CLPE08004;CLPE57001;CLPE30003;CLPE02005;CLPE54001;CLPE54002;CLPE59001;CLPE10002
CLPE08004;SEDAN;08;ARDENNES;44;GRAND EST;0.1822851915;0.1161244165;0.1886939748;0.1252255528;-0.006408783;-0.009101136;CLPE57001;CLPE59005;CLPE59001;CLPE59006;CLPE54002;CLPE08001;CLPE02002;CLPE02003;CLPE59002;CLPE62004
CLPE09001;COUSERANS;09;ARIÈGE;76;OCCITANIE;0.1803466552;0.1090420029;0.192147375;0.1238439986;-0.01180072;-0.014801996;CLPE11002;CLPE30003;CLPE09002;CLPE58002;CLPE46001;CLPE09003;CLPE08001;CLPE23001;CLPE18002;CLPE18003
CLPE09002;PAYS DES PYRÉNÉES CATHARES;09;ARIÈGE;76;OCCITANIE;0.1872176518;0.120238718;0.2021674316;0.1315178595;-0.01494978;-0.011279142;CLPE11002;CLPE46001;CLPE81003;CLPE11001;CLPE34001;CLPE55001;CLPE31003;CLPE30003;CLPE09003;CLPE18002
CLPE09003;VALLÉE DE L'ARIÈGE;09;ARIÈGE;76;OCCITANIE;0.2236249436;0.1405628622;0.2137450464;0.1412832191;0.0098798972;-0.000720357;CLPE65003;CLPE11001;CLPE81003;CLPE03002;CLPE46001;CLPE88001;CLPE36001;CLPE81001;CLPE07003;CLPE55001
CLPE10001;BAR-SUR-AUBE;10;AUBE;44;GRAND EST;0.2651979922;0.1582543224;0.2459356116;0.1599471168;0.0192623806;-0.001692794;CLPE17001;CLPE51004;CLPE33007;CLPE17005;CLPE33004;CLPE49003;CLPE61002;CLPE41002;CLPE24001;CLPE47002
CLPE10002;NOGENT-SUR-SEINE;10;AUBE;44;GRAND EST;0.2168805162;0.1407253579;0.1955303152;0.12919341;0.021350201;0.0115319478;CLPE18003;CLPE10003;CLPE08001;CLPE02002;CLPE54002;CLPE88001;CLPE03001;CLPE59001;CLPE57001;CLPE55002
CLPE10003;TROYES;10;AUBE;44;GRAND EST;0.2288660329;0.1479239849;0.2071594022;0.1366189204;0.0217066306;0.0113050645;CLPE88001;CLPE57002;CLPE45002;CLPE03001;CLPE18003;CLPE90001;CLPE80002;CLPE36001;CLPE71001;CLPE02004
CLPE11001;CARCASSONNE;11;AUDE;76;OCCITANIE;0.2015859622;0.1301829867;0.2153055093;0.1412776643;-0.013719547;-0.011094678;CLPE65003;CLPE09003;CLPE81003;CLPE34001;CLPE81001;CLPE31003;CLPE03002;CLPE11003;CLPE82002;CLPE88001
